peg_x,peg_y,success
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,1
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,1
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.223708,-0.080851,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,1
0.196839,0.104416,1
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,1
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,1
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,1
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,0
0.196839,0.104416,1
0.196839,0.104416,0
0.196839,0.104416,0
0.223498,0.106783,1
0.223498,0.106783,1
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,1
0.223498,0.106783,1
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,1
0.223498,0.106783,0
0.223498,0.106783,1
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,1
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,1
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
0.223498,0.106783,0
