peg_x,peg_y,success,file,demo,radial,depth,upright
0.20495,0.00285,0,gen_skillgen_sart_failed.hdf5,demo_114,0.00675,0.01076,0.9880
0.20495,0.00285,0,gen_skillgen_sart_failed.hdf5,demo_115,0.01558,-0.00004,0.9646
0.20495,0.00285,0,gen_skillgen_sart_failed.hdf5,demo_116,0.01140,0.01530,0.9969
0.20495,0.00285,0,gen_skillgen_sart_failed.hdf5,demo_117,0.00377,0.01587,0.9952
0.20495,0.00285,0,gen_skillgen_sart_failed.hdf5,demo_118,0.01028,0.01665,1.0000
0.20495,0.00285,0,gen_skillgen_sart_failed.hdf5,demo_119,0.01089,0.01564,0.9994
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_12,0.01014,0.01079,1.0000
0.20495,0.00285,0,gen_skillgen_sart_failed.hdf5,demo_120,0.00541,0.01252,0.9923
0.20495,0.00285,0,gen_skillgen_sart_failed.hdf5,demo_121,0.01936,0.00000,0.9999
0.20495,0.00285,0,gen_skillgen_sart_failed.hdf5,demo_122,0.01059,0.01576,0.6895
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_123,0.09354,0.00000,0.0000
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_124,0.06874,0.00000,-0.9992
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_125,0.09765,0.00000,-0.0000
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_126,0.06848,0.00000,-0.2640
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_127,0.09611,0.00000,-0.0000
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_128,0.04852,0.00000,-0.9943
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_129,0.06512,0.00000,0.8881
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_13,0.00680,0.00911,0.9750
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_130,0.01892,0.00000,0.9996
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_131,0.01218,0.01270,0.9848
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_132,0.01231,0.00872,0.9825
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_133,0.09129,0.00000,0.0000
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_134,0.06789,0.00000,-0.9998
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_135,0.01242,0.00923,0.9749
0.24103,0.00846,0,gen_skillgen_sart_failed.hdf5,demo_136,0.07077,0.00000,-0.9803
0.10361,-0.08704,0,gen_skillgen_sart_failed.hdf5,demo_137,0.01133,0.01517,0.9974
0.10361,-0.08704,0,gen_skillgen_sart_failed.hdf5,demo_138,0.01063,0.01544,0.7127
0.10361,-0.08704,0,gen_skillgen_sart_failed.hdf5,demo_139,0.09256,0.00000,-0.0000
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_14,0.03602,0.00000,1.0000
0.10361,-0.08704,0,gen_skillgen_sart_failed.hdf5,demo_140,0.09658,0.00000,0.0000
0.10361,-0.08704,0,gen_skillgen_sart_failed.hdf5,demo_141,0.01084,0.01621,0.9990
0.10361,-0.08704,0,gen_skillgen_sart_failed.hdf5,demo_142,0.23564,0.00000,0.9957
0.10361,-0.08704,0,gen_skillgen_sart_failed.hdf5,demo_143,0.09675,0.00000,-0.0000
0.10361,-0.08704,0,gen_skillgen_sart_failed.hdf5,demo_144,0.01070,0.01386,0.7871
0.10361,-0.08704,0,gen_skillgen_sart_failed.hdf5,demo_145,0.09546,0.00000,-0.0000
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_146,0.07690,0.00000,-0.7476
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_147,0.00506,0.01463,0.9945
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_148,0.10754,0.00000,0.0000
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_149,0.05023,0.00000,-1.0000
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_15,0.01142,0.01541,0.6493
