peg_x,peg_y,success,file,demo,radial,depth,upright
0.14337,0.02405,0,gen_skillgen_failed.hdf5,demo_14,0.09284,0.00000,1.0000
0.24984,-0.06809,0,gen_skillgen_failed.hdf5,demo_140,0.01072,0.01599,0.6485
0.11423,-0.05497,0,gen_skillgen_failed.hdf5,demo_141,0.00905,0.00717,0.9921
0.24022,0.06096,0,gen_skillgen_failed.hdf5,demo_142,0.15342,0.00000,1.0000
0.13751,-0.06486,0,gen_skillgen_failed.hdf5,demo_143,0.17776,0.00000,0.9929
0.19253,-0.02013,0,gen_skillgen_failed.hdf5,demo_144,0.01104,0.01558,0.9990
0.16931,0.11520,0,gen_skillgen_failed.hdf5,demo_145,0.07908,0.00000,1.0000
0.08474,-0.02823,0,gen_skillgen_failed.hdf5,demo_146,0.09476,0.00000,0.0000
0.25303,0.10084,0,gen_skillgen_failed.hdf5,demo_147,0.00476,0.01279,0.9923
0.10740,-0.04869,0,gen_skillgen_failed.hdf5,demo_148,0.06403,0.00000,0.6247
0.20879,0.09458,0,gen_skillgen_failed.hdf5,demo_149,0.05870,0.00000,-0.4997
0.20809,0.01387,0,gen_skillgen_failed.hdf5,demo_15,0.09037,0.00000,0.0000
0.08666,-0.06971,0,gen_skillgen_failed.hdf5,demo_150,0.09236,0.00000,-0.0000
0.25614,-0.07682,0,gen_skillgen_failed.hdf5,demo_151,0.00908,0.00719,0.9587
0.14605,0.01780,0,gen_skillgen_failed.hdf5,demo_152,0.10156,0.00000,0.7663
0.12203,-0.08542,0,gen_skillgen_failed.hdf5,demo_153,0.08082,0.00000,-0.9401
0.24999,0.06083,0,gen_skillgen_failed.hdf5,demo_154,0.16683,0.00000,0.9999
0.13946,-0.06962,0,gen_skillgen_failed.hdf5,demo_155,0.05620,0.00000,1.0000
0.14828,-0.08034,0,gen_skillgen_failed.hdf5,demo_156,0.19472,0.00000,0.9984
0.10284,-0.02389,0,gen_skillgen_failed.hdf5,demo_157,0.12001,0.00000,0.9998
0.18372,0.04500,0,gen_skillgen_failed.hdf5,demo_158,0.14344,0.00000,0.9774
0.24809,-0.04142,0,gen_skillgen_failed.hdf5,demo_159,0.01078,0.01630,0.9992
0.18693,-0.01652,0,gen_skillgen_failed.hdf5,demo_16,0.04115,0.00000,0.8855
0.14467,0.04235,0,gen_skillgen_failed.hdf5,demo_160,0.07729,0.00000,0.9982
0.24999,-0.06986,0,gen_skillgen_failed.hdf5,demo_161,0.22891,0.00000,1.0000
0.17613,-0.04081,0,gen_skillgen_failed.hdf5,demo_162,0.01468,0.00646,0.8648
0.25575,-0.00534,0,gen_skillgen_failed.hdf5,demo_163,0.00667,0.00924,0.9701
0.12283,0.03239,0,gen_skillgen_failed.hdf5,demo_164,0.01167,0.01445,0.9955
0.18129,-0.09308,0,gen_skillgen_failed.hdf5,demo_165,0.06071,0.00000,0.9982
0.17680,-0.05057,0,gen_skillgen_failed.hdf5,demo_166,0.07454,0.00000,0.2606
0.25993,0.02298,0,gen_skillgen_failed.hdf5,demo_167,0.18849,0.00000,0.9996
0.15903,-0.00387,0,gen_skillgen_failed.hdf5,demo_168,0.12331,0.00000,0.9996
0.17598,0.08723,0,gen_skillgen_failed.hdf5,demo_169,0.08647,0.00000,0.9968
0.14696,0.05329,0,gen_skillgen_failed.hdf5,demo_17,0.06127,0.00000,0.9191
0.25670,-0.04197,0,gen_skillgen_failed.hdf5,demo_170,0.01592,0.00886,0.7819
0.17281,0.01305,0,gen_skillgen_failed.hdf5,demo_171,0.12269,0.00000,0.9999
0.18135,-0.03051,0,gen_skillgen_failed.hdf5,demo_172,0.15234,0.00000,0.9998
0.17320,-0.00027,0,gen_skillgen_failed.hdf5,demo_173,0.06554,0.00000,-0.0430
0.16169,0.04932,0,gen_skillgen_failed.hdf5,demo_174,0.09541,0.00000,-0.0000
0.15093,-0.04730,0,gen_skillgen_failed.hdf5,demo_175,0.15804,0.00000,0.9997
0.20299,0.08407,0,gen_skillgen_failed.hdf5,demo_176,0.11538,0.00000,0.9990
0.24353,-0.01403,0,gen_skillgen_failed.hdf5,demo_177,0.19750,0.00000,0.9996
0.12396,-0.07882,0,gen_skillgen_failed.hdf5,demo_178,0.07911,0.00000,-0.8417
0.12822,0.00433,0,gen_skillgen_failed.hdf5,demo_179,0.10798,0.00000,0.9994
0.21989,0.03395,0,gen_skillgen_failed.hdf5,demo_18,0.01873,0.00000,1.0000
0.19809,-0.05828,0,gen_skillgen_failed.hdf5,demo_180,0.19965,0.00000,0.9994
0.13222,0.03845,0,gen_skillgen_failed.hdf5,demo_181,0.01171,0.01408,0.7342
0.23950,-0.06655,0,gen_skillgen_failed.hdf5,demo_182,0.01082,0.01583,0.6517
